C1400|Hallmark Cards
F1300|Credit Union National Assn
L5000|Office & Professional Employees Union
LB100|Laborers Union
A5000|Weyerhaeuser Co
LT300|Teamsters Union/Ohio
Z5100|Montana Republican State Central Cmte
Z5200|Democratic Party of 2nd Cong District of Wisconsin
F1100|First Horizon National
E1610|Missouri ACRE
Z5100|Republican Party of Arizona
LT600|Transport Workers Union
LB100|Operating Engineers Local 302
F1100|Citigroup Inc
Z5100|Missouri Republican State Cmte
E1620|Sempra Energy
Z5100|Republican Party of the 6th Congr Dist
H1130|American Podiatric Medical Assn
L5000|Office & Professional Employees 153
T5100|Norfolk Southern
C2600|Recording Industry Assn of America
A2000|Land O'Lakes
Z5200|Third Congr District Democratic Party of Wisconsin
F1100|SunTrust Banks/Georgia
J1100|Conservative Victory Fund
G1100|Greater Washington Board of Trade
Z5200|Montgomery County Democrat Central Cmte
L1100|American Federation of Govt Employees
C2100|National Assn of Broadcasters
Z5200|Democratic Party of Montana
C4500|National Cable & Telecommunications Assn
B6000|Associated Equipment Distributors
L1500|American Postal Workers Union
J1100|Conservative Leadership PAC
B0500|Associated Builders & Contractors
Z5200|Idaho State Democratic Party
T5100|Union Pacific Corp
C1100|Meredith Corp
E1610|Kansas ACRE
Z5200|DNC Services Corp
|THE LOOSE GROUP                                   
B4000|American Council of Engineering Cos
LT300|Teamsters Local 115
H4000|Johnson & Johnson
L1200|American Fedn of St/Cnty/Munic Employees
LM100|Glass Molders Pottery Plastics Workers
Z5200|Kentucky State Dem Central Exec Cmte
LT400|Brotherhood of Railroad Signalmen
LT500|Sailors Union of the Pacific
H1400|Ohio Dental Assn
F1100|Minnesota Bankers Assn
Z5100|Republican Party of Imperial County
|PAC INTERNATIONAL UNION SECURITY POLICE FIRE PROFE
H1400|North Carolina Dental Society
Z1100|Alaskans for Don Young
F2100|UBS Americas
B4000|Black & Veatch
A1200|Florida Sugar Cane League
JE300|California League of Conservation Voters
G2600|Coca-Cola Co
LB100|Plumbers/Pipefitters Union
F1100|Florida Bankers Assn
|WELLS FARGO AND COMPANY EMPLOYEES GOOD GOVERNMENT 
H1700|American Physical Therapy Assn
F4300|American Land Title Assn
Z1200|Congressman Waxman Campaign Cmte
LE100|United Mine Workers of America
Z5200|North Dakota Democratic-Nonpartisan League Party
B3400|Sheet Metal/AC Contractors Assn
A1100|American Cotton Shippers Assn
Z5100|San Bernardino County Repub Central Cmte
Z5100|Republican Party of Iowa
G2400|Food Marketing Institute
T1200|General Aviation Manufacturers Assn
A3300|Texas Cattle Feeders Assn
Z5100|Louisville & Jefferson County Republican Cmte
E1600|Pinnacle West Capital
G2100|American Bakers Assn
H1100|Kentucky Medical Assn
H4300|Pfizer Inc
Z5200|Democratic Party of Ohio
LB100|Operating Engineers Local 825
LT500|Marine Fireman's Union
H1710|American Nurses Assn
F2100|Bank of New York Mellon
F4000|Alexander & Baldwin
Z1200|A Lot of People for Dave Obey
C1300|Printing Industries of America
F1100|US Bancorp
J1200|Democratic Candidate Fund
Z5100|Republican Party of North Dakota
K1000|Dorsey & Whitney
A1400|California Canning Peach Assn
Z5200|Democratic Party of Wisconsin
Z5200|Democratic Party of Kansas
E1600|Edison International
Z5100|Cass County Republican Central Cmte
Z5100|Republican Campaign Cmte of New Mexico
Z1200|Pete Stark Re-Election Cmte
L1300|New York State United Teachers
K1000|Bracewell & Giuliani
H4300|Pharmaceutical Rsrch & Mfrs of America
F3100|Indep Insurance Agents & Brokers/America
G4900|National Assn of Chain Drug Stores
A2000|Darigold
A8000|American Nursery & Landscape Assn
A1100|National Cotton Council
L1500|National Assn of Letter Carriers
L1300|United Teachers-Los Angeles
Z5100|Connecticut Republican Campaign Cmte
G2300|American Meat Institute
T1100|Alaska Airlines
Z5200|Democratic Party of Arkansas
LB100|Operating Engineers Local 3
|FIRST CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE 
K1100|American Assn for Justice
Z5200|Vermont State Democratic Cmte
T6200|Matson Inc
M2300|General Electric
F2100|Northern Trust
H1120|American Optometric Assn
Z5200|Minnesota Democratic Farmer Labor Party
Z1200|Friends of John Lafalce
E1600|PNM Resources
T2200|TRW Automotive
F1100|Bank of Hawaii
Z1200|Friends of Congressman George Miller
LC150|Intl Brotherhood of Electrical Workers
LB100|Ironworkers Union
Z5100|National Republican Senatorial Cmte
LT500|American Maritime Officers
|WYOMING MEDICAL POLITICAL ACTION COMMITTEE        
A3000|National Cattlemen's Beef Assn
L1300|American Federation of Teachers
A5000|American Forest & Paper Assn
L1400|International Assn of Fire Fighters
LB100|Operating Engineers Union
M2100|US Steel
F4200|National Assn of Realtors
G2820|Distilled Spirits Council
H1750|National Community Pharmacists Assn
Z5200|Michigan Democratic State Central Cmte
Z5100|Republican Party of Washington
Z5100|Republican Party of Nebraska
F1100|Synovus Financial Corp
F1100|Independent Community Bankers of America
K1000|Vinson & Elkins
LT300|Teamsters Union
LT000|Amalgamated Transit Union
G2400|Winn-Dixie Stores
Z5100|Colorado Republican Cmte
F1100|HSBC North America
G2100|Flowers Foods
C5110|Corning Inc
M1000|FMC Corp
F4100|Real Estate Roundtable
A1100|Arizona Cotton Growers Assn
H4300|Novartis Corp
C1300|RR Donnelley & Sons
Z5100|Republican Party of South Carolina
LH100|Hospital & Health Care Employees 1199C
B1000|Fluor Corp
F3200|AFLAC Inc
|NATIONAL WOMEN'S POLITICAL CAUCUS CAMPAIGN SUPPORT
A2300|National Chicken Council
M1600|PPG Industries
M7200|Owens-Illinois
T3200|Paccar Inc
A5200|International Paper
G2820|Diageo North America
G2810|Anheuser-Busch
F1100|Wells Fargo
H1700|American Soc for Clinical Lab Science
T6200|American Waterways Operators
E1120|True Companies
F5200|ACA International
C5400|Eaton Corp
G4800|Amway/Alticor Inc
A5000|Simpson Investment
A4500|National Assn of Federal Veterinarians
E1110|Chevron Corp
E1170|Petroleum Marketers Assn
F1100|Oregon Bankers Assn
LT100|Air Line Pilots Assn
F1100|PNC Bank Corp
F1000|Consumer Bankers Assn
Z5200|Democratic Party of Iowa
Z5100|Vermont Republican Federal Elections Cmte
H4300|Bristol-Myers Squibb
D2000|United Technologies
E1150|Halliburton Co
C1100|Magazine Publishers of America
J2100|NORM PAC
Z5100|Republican Party of North Carolina
F1400|American Financial Services Assn
G4300|Sears Holdings Corp
A1100|Supima Assn of America
A6500|Missouri Farm Bureau/W Central Dist
E1220|Cliffs Natural Resources
M4300|Whirlpool Corp
H1100|New Jersey Medical Assn
LT300|Teamsters Local 959
K2000|Williams & Jensen
B5000|National Lumber & Bldg Material Dealers
H1100|Nevada Medical Assn
F1100|Citigroup Inc
G2600|PepsiCo Inc
M7300|Ball Corp
E1110|Shell Oil
G2100|Kellogg Co
F3100|Council of Insurance Agents & Brokers
F1100|Arizona Bankers Assn
Z5100|Republican Party of Tennessee
M8000|International Textile Group
F3100|Allstate Insurance
H4300|Abbott Laboratories
G4000|National Retail Federation
E1140|Williams Companies
A6500|Missouri Farm Bureau/NW Dist
F1400|American Express
E1110|Marathon Oil
H4300|Consumer Healthcare Products Assn
F1300|National Assn of Federal Credit Unions
G2500|United Fresh Produce Assn
LE200|Utility Workers Union of America
T3200|Navistar International
Z5200|Democratic Party of Oakland County
E1610|Ohio ACRE
F3300|Metlife Inc
LM100|Boilermakers Union Local 169
T2300|National Auto Dealers Assn
E1620|Avista Corp
T6200|American Pilots Assn
Z5100|Republican Party of Michigan
Z5100|Stanislaus County Republican Central Cmte
Z5200|Georgia Federal Elections Cmte
G0000|American Society of Assn Executives
H1100|Association of American Physicians & Surgeons
A5000|Potlatch Corp
LC150|IBEW Local 1
C5400|ABB Group
A6500|California Farm Bureau
A1300|RJ Reynolds Tobacco
A4000|Monsanto Co
Z5200|Democratic Senatorial Campaign Cmte
Z5100|Republican Party of Massachusetts
|KANSAS CITY LIFE INSURANCE COMPANY EMPLOYEES' POLI
G4300|JC Penney
A3200|American Sheep Industry Assn
M2300|National Tooling & Machining Assn
F1100|SunTrust Banks/Tennessee
B2400|Manufactured Housing Institute
H1500|Nebraska Chiropractic Physicians Assn
F1100|Bank of America
Z5100|8th Congressional Dist of VA Repub Cmte
J9000|Citizens for Global Solutions
Z5100|Republican Party of Alabama
Z5100|Republican Federal Cmte of Pennsylvania
Z5100|Republican Party of South Dakota
G5230|Outdoor Advertising Assn of America
M2400|Institute of Scrap Recycling Industries
T2100|Ford Motor Co
|KAISER ALUMINUM POLITICAL ACTION COMMITTEE        
B1000|Zachry Construction
F1100|Wisconsin Bankers Assn
|RONNIE G FLIPPO COMMITTEE                         
E5000|Salt River Valley Water User's Assn
E1620|National Grid USA
E1620|NiSource Inc
J6200|National Rifle Assn
Z5100|New York Republican Federal Campaign Cmte
F1100|Idaho Bankers Assn
G2100|Tate & Lyle Americas
|THE KROGER CO. POLITICAL ACTION COMMITTEE         
G2820|Brown-Forman Corp
F1300|South Carolina Credit Union League
E1110|BP
H6000|National Assn of Social Workers
M1300|Clorox Co
G2100|General Mills
F1100|Kentucky Bankers Assn
|SERVICE STATION DEALERS OF AMERICA
G2900|McDonald's Corp
A1200|US Beet Sugar Assn
T7100|United Parcel Service
E1600|NextEra Energy
G2820|Wine Institute
LB100|Operating Engineers Local 18
M7100|MeadWestvaco Corp
F3400|Property Casualty Insurers Assn/America
H2100|HCA Inc
A1000|Cargill Inc
E1620|NorthWestern Energy
Z1200|Leahy for US Senator Cmte
B1000|Associated General Contractors/Iowa
F3300|Pacific Life Insurance
T7100|FedEx Express
Z5200|Democratic State Central Cmte/Louisiana
L1500|National Rural Letter Carriers Assn
F2000|State Street Bank & Trust
H4300|Hoffmann-La Roche
F1100|Commerce Bancshares
|Masters
F1100|KeyCorp
LG400|American Federation of Musicians
Z5200|Dollars for Democrats
M1000|Dow Chemical
|INLANDBOATMEN'S UNION POLITICAL ACTION COMMITTEE-(
Z5100|Republican Party of Wisconsin
T3100|Ruan Companies
F1100|Ohio Bankers Assn
E5000|National Assn of Water Companies
F1100|Branch Banking & Trust
C4600|Motorola Solutions
E1620|CMS Energy
Z5100|National Republican Congressional Cmte
M1000|Ashland Inc
F3100|Nationwide
A2300|National Turkey Federation
F2200|CME Group
A4100|CF Industries
E1140|Southwest Gas
T2100|General Motors
|NATIONAL ALLIANCE FOR POLITICAL ACTION (NAPA)-NAT'
F1100|Maryland Bankers Assn
|PENN STATE PAC                                    
E1600|Alabama Power
F5100|American Institute of CPAs
|UNITED SENIORS PAC INC                            
M4100|American Home Furnishings Alliance
K1000|Baker Botts LLP
G2100|Kraft Foods Group
Z5100|Rhode Island Repub State Central Cmte
T1100|United Airlines
F3400|CNA Financial
D3000|General Dynamics
G4800|Direct Selling Assn
LH100|Hospital & Health Care Employees 1199J
J7150|NARAL Pro-Choice America
A6000|California Westside Farmers Inc
E1190|National Propane Gas Assn
G6100|Bowling Proprietors Assn
A1400|Blue Diamond Growers
M2000|Emerson Electric
F1100|Michigan Bankers Assn
|MIDAMERICAN ENERGY COMPANY PAC                    
Z1200|Keep Nick Rahall in Congress Cmte
A1200|American Sugar Cane League
F1100|New York Bankers Assn
E1620|DTE Energy
G1100|US Chamber of Commerce
M5000|Precision Metalforming Assn
H1400|Indiana Dental Assn
|J. G. BOSWELL EMPLOYEES' POLITICAL ACTION COMMITTE
H4300|Eli Lilly & Co
E1600|PacifiCorp
F1100|California Bankers Assn
B1000|Associated General Contractors
Z5100|Republican Central Cmte of Nevada
F4200|California Assn of Realtors
E1610|Louisiana ACRE
Z1100|Sensenbrenner Cmte
E1620|Duke Energy
E1140|National Fuel Gas Corp
F1100|Nebraska Bankers Assn
E1120|Michigan Petroleum Assn
E1600|Idaho Power
E1110|Occidental Petroleum
G5700|National Pest Control Assn
F3200|Blue Cross/Blue Shield of Michigan
|HARSCO CORPORATION POLITICAL ACTION COMMITTEE     
Z5100|Republican Party of Mississippi
M0000|3M Co
G1000|International Franchise Assn
T2200|Federal-Mogul Corp
T9100|International Assn of Holiday Inns
M1000|Celanese Corp
Z5100|Republican Party of Arkansas
A2000|United Dairymen of Arizona
F3200|Cigna Corp
G2350|Omega Protein Corp
Z5100|Republican Party of Hawaii
A4100|Fertilizer Institute
|COMMITTEE FOR QUALIFIED CANDIDATES FKA FRIENDS OF 
F1100|Iowa Bankers Assn
F1200|BMO Harris Bank
X5000|National Assn for Uniformed Services
F1100|New Jersey Bankers Assn
F1100|Kansas Bankers Assn
|FIRST FINANCIAL CORPORATION POLITICAL ACTION COMMI
C4100|Cincinnati Bell
G2100|ConAgra Foods
Z1200|Reelect Exon for US Senate Cmte
T3000|Ryder System
Z1200|Friends of Senator Carl Levin
D2000|Northrop Grumman
H1700|American Occupational Therapy Assn
A1300|Altria Group
Z5200|Democratic State Cmte of Massachusetts
C4300|Sprint Communications
|National Stone
Z5100|Republican Party of Utah
K1000|Andrews & Kurth
LT500|American Maritime Officers Retirees Assn
A6500|Missouri Farm Bureau/SE Dist
A3500|American Horse Council
T3100|YRC Worldwide
J1100|Jerry Lewis PAC
B4000|National Soc of Professional Engineers
L1100|National Active & Retired Federal Employees Assn
Z1100|Citizens for Cochran
J7400|National Organization for Women
F1100|Georgia Bankers Assn
L1500|National Assn of Postal Supervisors
G4300|Wal-Mart Stores
G2100|Basic American Inc
B1000|Austin Industries
M3100|Russell Brands
A6500|Missouri Farm Bureau/SW Dist
A4300|Archer Daniels Midland
LB100|Operating Engineers Local 324
C5100|Computer & Communications Industry Assn
A6000|Alabama Farmers Federation
F3100|Mutual of Omaha
F1100|Pennsylvania Bankers Assn
LT300|Teamsters Local 500
|L.A. P.A.C.                                       
F3100|Allianz of America
T5100|Grand Trunk Western-Illinois Central RR
E1600|Edison Electric Institute
M2300|Honeywell International
A6500|Michigan Farm Bureau
Z1100|Committee to Re-Elect Congressman Chris Smith
A2000|Michigan Milk Producers Assn
E1600|American Electric Power
J7120|Ohio Right to Life Society
|VIAD CORP GOOD GOVERNMENT PROJECT                 
H4300|Merck & Co
D3000|Raytheon Co
|AMERICAN INTERNATIONAL GROUP INC. EMPLOYEE POLITIC
E1140|Questar Corp
E1170|National Assn of Truck Stop Operators
G4300|Target Corp
|NEW YORK BANKERS ASSOCIATION COMMUNITY POLITICAL A
A1400|Sunkist Growers
LT400|Brotherhood of Locomotive Engineers
Z5100|Republican Party of Florida
Z5200|Democratic Party of Texas
|4TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE   
|GRAY
G2100|Independent Bakers Assn
E1620|We Energies
G2600|American Beverage Assn
|THE GOODYEAR TIRE & RUBBER COMPANY GOOD GOVERNMENT
E1200|Georgia Mining Assn
G2350|Peter Pan Seafoods
D3000|Harris Corp
L1500|National Assn of Postmasters
Z5100|Riverside County Republican Central Cmte
F2200|Chicago Board Options Exchange
B3400|Air Conditioning Contractors of America
G1200|National Fedn of Independent Business
E4100|National Fisheries Institute
J7120|Right to Life of Michigan
C5130|Computer Sciences Corp
M1300|Ecolab Inc
E1620|Puget Sound Energy
F1100|Virginia Bankers Assn
T1100|Continental Airlines
E1140|Washington Gas Light Co
|NORTHEAST UTILITIES EMPLOYEES' POLITICAL ACTION CO
J5100|Desert Caucus
B5100|Ash Grove Cement
F1100|Colorado Bankers Assn
H1500|American Chiropractic Assn
E1600|Dayton Power & Light
F3400|American Insurance Assn
B4000|Parsons Corp
|MUTUAL OF OMAHA COMPANIES AGENCY  PAC  (COMPAC)   
B1000|Bechtel Group
F1100|South Carolina Bankers Assn
B4000|HDR Inc
J1100|Eagle Forum
E1610|Indiana ACRE
G4900|Rite Aid Corp
M2100|ArcelorMittal USA
F1100|JPMorgan Chase & Co
LB100|Operating Engineers Local 17
Z5200|New Jersey Democratic State Cmte
M2300|AO Smith Corp
Z1100|Hatch Election Cmte
T1100|Delta Air Lines
B1000|Chicago Bridge & Iron
|Akin
J7120|New York State Right to Life
K1000|Foley & Lardner
Z5200|Democratic State Central Cmte/California
Z5200|Democratic Cmte of Utah
F2100|Investment Co Institute
H2100|American Hospital Assn
F4500|Building Owners & Managers Assn
F1100|Mississippi Bankers Assn
F3200|America's Health Insurance Plans
Z1100|Citizens for Tom Petri
L1100|National Treasury Employees Union
H2100|National Assn of Psychiatric Health Systems
F5100|PricewaterhouseCoopers
T1100|American Airlines
G5300|American Rental Assn
F4100|Watson Land Co
E1620|Xcel Energy
H4400|McKesson Corp
E1620|Dominion Resources
G2900|Darden Restaurants
F1100|Connecticut Bankers Assn
Z5200|Indiana Democratic Congressional Victory Cmte
C4100|AT&T Inc
Z5100|Midland County Republican Cmte
|
|LOUISIANA-PACIFIC CORP FEDERAL PAC                
G3000|National Assn of Wholesaler-Distributors
|DOLE FOOD COMPANY INC P A C                       
F1300|Pennsylvania Credit Union Assn
E1160|Valero Energy
LC100|Communications Workers Local 13000
F1100|New Hampshire Bankers Assn
E1200|National Mining Assn
F2500|Small Business Investor Alliance
K1000|Dickstein Shapiro LLP
T8300|Brunswick Corp
A1200|American Crystal Sugar
E1210|Peabody Energy
|LINCOLN NATIONAL CORPORATION POLITICAL ACTION COMM
J5100|Citizens Organized PAC
T3100|Con-Way Inc
M5000|Precision Machined Products Assn
|THE NEWHALL LAND AND FARMING COMPANY POLITICAL ACT
|Tunnel
J7120|National Right to Life
A8000|Society of American Florists
E1600|Kansas City Power & Light
|MID-CONTINENT POLITICAL ACTION COMMITTEE          
|SOCIALIST WORKERS NATIONAL CAMPAIGN COMMITTEE     
K1000|Jones Walker LLP
F2100|Credit Suisse Securities
F1100|SunTrust Banks/Florida
B5100|CEMEX Inc
|ARCATA CORPORATION POLITICAL ACTION COMM C/0 QUEBE
G2900|White Castle System
J1200|Americans for Democratic Action
B1000|Heavy Constructors Assn
|AVON PRODUCTS INC. FUND FOR RESPONSIBLE GOVERNMENT
G4000|Retail Industry Leaders Assn
A1300|Lorillard Tobacco
E1110|ConocoPhillips
LB100|Operating Engineers Local 106
J5100|Americans United in Support of Democracy
M1000|Eastman Chemical
LC150|IBEW Local 728
F4500|National Apartment Assn
J6100|Brady Campaign to Prevent Gun Violence
G5290|Tyco International
H1130|American Osteopathic Assn
B3200|National Electrical Contractors Assn
M3300|Personal Care Products Council
B5100|National Ready Mixed Concrete Assn
F1100|Washington Bankers Assn
T9400|American Society of Travel Agents
A4500|American Veterinary Medical Assn
L1500|Letter Carriers Local 9
LB100|Operating Engineers Local 137
Z5200|Democratic Central Cmte of Washington
F1100|Tennessee Bankers Assn
T1100|Airlines for America
|OCEAN SPRAY CRANBERRIES INC. POLITICAL ACTION COMM
LB100|Operating Engineers Local 101
LB100|Asbestos Workers Union
LB100|Operating Engineers Local 4
|CRAIG FOR US SENATE                               
F1100|Indiana Bankers Assn
|NICKLES GROUP PAC                                 
B5100|Vulcan Materials
E1140|Interstate Natural Gas Assn of America
Z1100|Hal Rogers for Congress
M4300|Lennox Industries
|NORTH CAROLINA RIGHT TO LIFE INC - PAC            
M7100|Rock-Tenn Co
A4000|Farmers Mutual Hail Insurance of Iowa
J2200|Congressional Majority Cmte
H4100|Baxter Healthcare
K1000|Locke Lord LLP
F1100|North Dakota Bankers Assn
B1000|American Road & Transport Builders Assn
H4100|American Orthotic & Prosthetic Assn
|GATX CORPORATION GOOD GOVERNMENT PROGRAM          
LM100|Boilermakers Union Local 85
LT300|Teamsters Local 623
G2100|Snack Food Assn
F3300|Massachusetts Mutual Life Insurance
E3000|Waste Management Inc
|
H2100|Tenet Healthcare
A1400|Allied Grape Growers
|COYNE FOR CONGRESS (WILLIAM J COYNE)              
E1600|Georgia Power
|SECURIAN
E1170|Society of Independent Gasoline Marketers
Z5100|Republican State Central Cmte/Maryland
T8100|American Motorcyclist Assn
E1600|Gulf Power
Z1100|Hall for Congress Cmte
A1400|JR Simplot Co
|KING RANCH INC POLITICAL ACTION COMMITTEE-FEDERAL 
F3100|Thrivent Financial for Lutherans
A1300|Cigar Assn of America
E1110|Exxon Mobil
A1400|California Grape & Tree Fruit League
LB100|Operating Engineers Local 463
J6200|Safari Club International
H1700|American Academy of Physician Assistants
M1000|Consumer Specialty Products Assn
F4100|Forest City Enterprises
T1200|Textron Inc
F1100|Simmons First National Bank
|HECLA MINING COMPANY/HECLA LIMITED PAC            
LB100|Roofers Union Local 30
C5110|Intel Corp
E1620|Black Hills Corp
JD200|Stop the Arms Race PAC
|DIAMOND FOODS INC POLICAL ACTION COMMITTEE        
G4300|National Assn of Convenience Stores
|LONE ROCK TIMBER MANAGEMENT COMPANY POLITICAL ACTI
|KAMAN CORP. GOOD GOV'T. FUND                      
M1000|Air Products & Chemicals Inc
PL|Bakery
F3300|Prudential Financial
J5100|Florida Congressional Cmte
F1100|Delaware Bankers Assn
H2100|Hospital & Healthsystem Assn of PA
A2000|International Dairy Foods Assn
F1100|JPMorgan Chase & Co
|MASSACHUSETTS CITIZENS FOR LIFE POLITICAL ACTION C
B2000|Toll Brothers Inc
A5000|Southeastern Lumber Manufacturers Assn
A1400|Raisin Bargaining Assn
Z1100|Pat Roberts for Senate
F3300|Principal Life Insurance
B5100|National Concrete Masonry Assn
D2000|Aerojet Rocketdyne
J7120|Minnesota Citizens Concerned for Life
F5100|National Society of Accountants
LB100|Plumbers/Pipefitters Union
|SOCIALIST NATIONAL COMMITTEE                      
A1200|California Beet Growers Assn
F4100|American Resort Development Assn
F1100|Central Pacific Bank
|
J1100|American Conservative Union
F4100|National Multi Housing Council
B3400|Sheet Metal A/C Contractors Kentucky
F1300|Kentucky Credit Union League
T1400|Aircraft Owners & Pilots Assn
G5700|Rollins Inc
J5100|Heartland PAC
A1400|Florida Citrus Mutual
|THE IRVINE COMPANY EMPLOYEES PAC                  
LB100|Plumbers/Pipefitters Union Local 524
E1620|Alliant Energy
G5300|Equipment Leasing & Finance Assn
G5200|Professional Services Council
|Taxicab
A1400|National Grape Co-op Assn
F2200|Futures Industry Assn
E1610|Oklahoma ACRE
LB100|Operating Engineers Local 487
L1400|Phoenix Fire Fighters Local 493
LB100|Operating Engineers Local 14-14B
LB100|Plasterers & Cement Masons Union
JE300|Sierra Club
|HORIZON BANK PAC                                  
M2300|Parker-Hannifin
LT600|Transport Workers Union Local 100
J5100|To Protect Our Heritage PAC
Z5200|Missouri Democratic State Cmte
M1100|Institute of Makers of Explosives
F3100|Farmers Group
L5000|Office & Professional Employees 2
E1120|Energen Corp
Z5200|Rhode Island Democratic State Cmte
Z5100|New Hampshire Republican State Cmte
|NATIONAL DEMOCRATIC POLICY COMMITTEE              
LC150|IBEW Local 349
LB100|Operating Engineers Local 542
A6500|Arizona Farm Bureau
Z5100|Contra Costa Republican Party
F3100|John Hancock Life Insurance
F1100|M&T Bank
K1000|Holland & Hart
LB100|Plumbers/Pipefitters Union Local 25
T6200|APL Ltd
T9400|National Tour Assn
LT300|Teamsters Local 523
J5100|Washington PAC
J5100|Americans for Good Government
LB100|Operating Engineers Local 68
T5300|TTX Co
L1400|Miami Fire Fighters Local 587
B4200|American Institute of Architects
|SIGN/PAC                                          
|CONSERVATIVE NATIONAL COMMITTEE (FKA-CONGRESSIONAL
Z5100|Republican Party of Manitowoc County
F1300|Michigan Credit Union League
E1610|Montana ACRE
T5100|Kansas City Southern
F1100|Oklahoma Bankers Assn
C2400|Motion Picture Assn of America
F1100|Illinois Bankers Assn
F1300|League of Southeastern Credit Unions
J5100|Joint Action Cmte for Political Affairs
E1140|UGI Corp
J2300|Independent Action
A1500|National Assn of Wheat Growers
H1100|American College of Emergency Physicians
F3100|Shelter Mutual Insurance
Z5100|Republican Party of California
F1100|Louisiana Bankers Assn
Z1200|Hoyer for Congress
L1500|Letter Carriers Local 343
E1600|FirstEnergy Corp
D3000|Exelis Inc
JE300|Friends of the Earth
E1600|Exelon Corp
A2000|Agri-Mark Inc
|ILLINOIS FEDERATION FOR RIGHT TO LIFE PAC         
|GANNETT FLEMING
J7120|Right to Life/Oregon PAC
M2100|Allegheny Technologies
J5100|Friends of Israel
Z5200|Democratic State Central Cmte/Maryland
|HUNT CONSOLIDATED
|
LB100|Operating Engineers Local 98
E1630|Covanta Energy Corp
|LEVINE CAMPAIGN COMMITTEE                         
|JACOBS GOOD GOVERNMENT FUND OF JACOBS ENGINEERING 
T3100|Watkins Associated Industries
G6500|Boyd Gaming
F3300|Penn Mutual Life Insurance
E1600|ALLETE Inc
F1100|Compass Bancshares
J1200|Alerted Democratic Majority
D2000|Boeing Co
M3200|Nike Inc
LB100|Operating Engineers Local 150
|INMAN MILLS GOOD GOVERNMENT FUND                  
L1500|Letter Carriers Local 28
F3300|OneAmerica Financial Partners
Z5200|Democratic Cmte of New York State
B4000|CH2M HILL
|PLUMBERS LOCAL 519 POLITICAL ACTION COMMITTEE     
LC150|IBEW Local 313
Z1200|Friends of Byron Dorgan
H1700|Academy of Nutrition & Dietetics
Z5100|Texas Republican Congressional Cmte
F5200|Equifax Inc
E1600|Mississippi Power
